FID,dec_ssh
vbl_ssh_allreg_dec.60363,1.02999997
vbl_ssh_allreg_dec.60364,1.13
vbl_ssh_allreg_dec.60365,1.25
vbl_ssh_allreg_dec.60366,1.38
vbl_ssh_allreg_dec.60367,1.5
vbl_ssh_allreg_dec.60368,1.67999995
vbl_ssh_allreg_dec.60369,1.94000006
vbl_ssh_allreg_dec.60370,2.1400001
vbl_ssh_allreg_dec.60371,2.29999995
vbl_ssh_allreg_dec.60372,2.41000009
vbl_ssh_allreg_dec.60373,2.50999999
vbl_ssh_allreg_dec.60374,2.5999999
vbl_ssh_allreg_dec.60375,2.68000007
vbl_ssh_allreg_dec.60376,2.75
vbl_ssh_allreg_dec.60377,2.81999993
vbl_ssh_allreg_dec.60378,2.8599999
vbl_ssh_allreg_dec.60379,2.91000009
vbl_ssh_allreg_dec.60380,2.94000006
vbl_ssh_allreg_dec.60381,2.96000004
vbl_ssh_allreg_dec.60382,3.00999999
vbl_ssh_allreg_dec.60383,3.07999992
vbl_ssh_allreg_dec.60384,3.1400001
vbl_ssh_allreg_dec.60385,3.16000009
vbl_ssh_allreg_dec.60386,3.19000006
vbl_ssh_allreg_dec.60387,3.19000006
vbl_ssh_allreg_dec.60388,3.16000009
vbl_ssh_allreg_dec.60389,3.18000007
vbl_ssh_allreg_dec.60390,3.25
vbl_ssh_allreg_dec.60391,3.30999994
vbl_ssh_allreg_dec.60392,3.3499999
vbl_ssh_allreg_dec.60393,3.38000011
vbl_ssh_allreg_dec.60394,3.41000009
vbl_ssh_allreg_dec.60395,3.44000006
vbl_ssh_allreg_dec.60396,3.46000004
vbl_ssh_allreg_dec.60397,3.48000002
vbl_ssh_allreg_dec.60398,3.5
vbl_ssh_allreg_dec.60399,3.51999998
vbl_ssh_allreg_dec.60400,3.53999996
vbl_ssh_allreg_dec.60401,3.55999994
vbl_ssh_allreg_dec.60402,3.57999992
vbl_ssh_allreg_dec.60403,3.58999991
vbl_ssh_allreg_dec.60404,3.5999999
vbl_ssh_allreg_dec.60405,3.6099999
vbl_ssh_allreg_dec.60406,3.63000011
vbl_ssh_allreg_dec.60407,3.6400001
vbl_ssh_allreg_dec.60408,3.6500001
vbl_ssh_allreg_dec.60409,3.67000008
vbl_ssh_allreg_dec.60410,3.67000008
vbl_ssh_allreg_dec.60411,3.68000007
vbl_ssh_allreg_dec.60412,0.60000002
vbl_ssh_allreg_dec.60413,0.63999999
vbl_ssh_allreg_dec.60414,0.68000001
vbl_ssh_allreg_dec.60415,1.11000001
vbl_ssh_allreg_dec.60416,1.25999999
vbl_ssh_allreg_dec.60417,1.38
vbl_ssh_allreg_dec.60418,1.54999995
vbl_ssh_allreg_dec.60419,1.74000001
vbl_ssh_allreg_dec.60420,1.96000004
vbl_ssh_allreg_dec.60421,2.13000011
vbl_ssh_allreg_dec.60422,2.25999999
vbl_ssh_allreg_dec.60423,2.36999989
vbl_ssh_allreg_dec.60424,2.47000003
vbl_ssh_allreg_dec.34,4.19000006
vbl_ssh_allreg_dec.60425,2.55999994
vbl_ssh_allreg_dec.60426,2.6400001
vbl_ssh_allreg_dec.60427,2.71000004
vbl_ssh_allreg_dec.60428,2.76999998
vbl_ssh_allreg_dec.60429,2.82999992
vbl_ssh_allreg_dec.60430,2.88000011
vbl_ssh_allreg_dec.60431,2.91000009
vbl_ssh_allreg_dec.60432,2.94000006
vbl_ssh_allreg_dec.60433,3.00999999
vbl_ssh_allreg_dec.60434,3.05999994
vbl_ssh_allreg_dec.60435,3.07999992
vbl_ssh_allreg_dec.60436,3.08999991
vbl_ssh_allreg_dec.60437,3.16000009
vbl_ssh_allreg_dec.60438,3.18000007
vbl_ssh_allreg_dec.60439,3.18000007
vbl_ssh_allreg_dec.60440,3.24000001
vbl_ssh_allreg_dec.60441,3.25
vbl_ssh_allreg_dec.60442,3.26999998
