FID,mar_ssh
vbl_ssh_allreg_mar.60755,2.51999998
vbl_ssh_allreg_mar.60756,2.50999999
vbl_ssh_allreg_mar.60757,2.47000003
vbl_ssh_allreg_mar.60758,2.3499999
vbl_ssh_allreg_mar.60759,2.1099999
vbl_ssh_allreg_mar.60760,1.80999994
vbl_ssh_allreg_mar.60761,2.26999998
vbl_ssh_allreg_mar.60762,2.5
vbl_ssh_allreg_mar.60763,2.63000011
vbl_ssh_allreg_mar.60764,2.71000004
vbl_ssh_allreg_mar.60765,2.75999999
vbl_ssh_allreg_mar.60766,2.79999995
vbl_ssh_allreg_mar.60767,2.82999992
vbl_ssh_allreg_mar.60768,2.8499999
vbl_ssh_allreg_mar.60769,2.86999989
vbl_ssh_allreg_mar.60770,2.8900001
vbl_ssh_allreg_mar.60771,2.9000001
vbl_ssh_allreg_mar.60772,2.91000009
vbl_ssh_allreg_mar.60773,2.92000008
vbl_ssh_allreg_mar.60774,2.93000007
vbl_ssh_allreg_mar.60775,2.95000005
vbl_ssh_allreg_mar.60776,2.96000004
vbl_ssh_allreg_mar.60777,2.97000003
vbl_ssh_allreg_mar.60778,2.97000003
vbl_ssh_allreg_mar.60779,2.98000002
vbl_ssh_allreg_mar.60780,2.99000001
vbl_ssh_allreg_mar.60781,3
vbl_ssh_allreg_mar.60782,3
vbl_ssh_allreg_mar.60783,3.00999999
vbl_ssh_allreg_mar.60784,3.00999999
vbl_ssh_allreg_mar.60785,0.62
vbl_ssh_allreg_mar.60786,0.91000003
vbl_ssh_allreg_mar.60787,1.58000004
vbl_ssh_allreg_mar.60788,1.76999998
vbl_ssh_allreg_mar.60789,1.84000003
vbl_ssh_allreg_mar.60790,1.92999995
vbl_ssh_allreg_mar.60791,1.99000001
vbl_ssh_allreg_mar.60792,2.03999996
vbl_ssh_allreg_mar.60793,2.06999993
vbl_ssh_allreg_mar.60794,2.1099999
vbl_ssh_allreg_mar.60795,2.16000009
vbl_ssh_allreg_mar.60796,2.21000004
vbl_ssh_allreg_mar.60797,2.25999999
vbl_ssh_allreg_mar.60798,2.29999995
vbl_ssh_allreg_mar.60799,2.31999993
vbl_ssh_allreg_mar.60800,2.3499999
vbl_ssh_allreg_mar.60801,2.33999991
vbl_ssh_allreg_mar.60802,2.42000008
vbl_ssh_allreg_mar.60803,2.45000005
vbl_ssh_allreg_mar.60804,2.46000004
vbl_ssh_allreg_mar.60805,2.46000004
vbl_ssh_allreg_mar.40,3.72000003
vbl_ssh_allreg_mar.60806,2.42000008
vbl_ssh_allreg_mar.60807,2.31999993
vbl_ssh_allreg_mar.60808,2.24000001
vbl_ssh_allreg_mar.60809,1.78999996
vbl_ssh_allreg_mar.60810,1.91999996
vbl_ssh_allreg_mar.60811,2.19000006
vbl_ssh_allreg_mar.60812,2.41000009
vbl_ssh_allreg_mar.60813,2.52999997
vbl_ssh_allreg_mar.60814,2.61999989
vbl_ssh_allreg_mar.60815,2.69000006
vbl_ssh_allreg_mar.60816,2.74000001
vbl_ssh_allreg_mar.60817,2.77999997
vbl_ssh_allreg_mar.60818,2.79999995
vbl_ssh_allreg_mar.60819,2.81999993
vbl_ssh_allreg_mar.60820,2.83999991
vbl_ssh_allreg_mar.60821,2.8599999
vbl_ssh_allreg_mar.60822,2.86999989
vbl_ssh_allreg_mar.60823,2.88000011
vbl_ssh_allreg_mar.60824,2.9000001
vbl_ssh_allreg_mar.60825,2.91000009
vbl_ssh_allreg_mar.60826,2.93000007
vbl_ssh_allreg_mar.60827,2.94000006
vbl_ssh_allreg_mar.60828,2.95000005
vbl_ssh_allreg_mar.60829,2.96000004
vbl_ssh_allreg_mar.60830,2.97000003
vbl_ssh_allreg_mar.60831,2.97000003
vbl_ssh_allreg_mar.60832,2.98000002
vbl_ssh_allreg_mar.60833,2.99000001
vbl_ssh_allreg_mar.60834,3
vbl_ssh_allreg_mar.60835,3
vbl_ssh_allreg_mar.60836,1.33000004
vbl_ssh_allreg_mar.60837,1.54999995
vbl_ssh_allreg_mar.60838,1.73000002
vbl_ssh_allreg_mar.60839,1.85000002
vbl_ssh_allreg_mar.60840,1.92999995
vbl_ssh_allreg_mar.60841,2
vbl_ssh_allreg_mar.60842,2.04999995
vbl_ssh_allreg_mar.60843,2.08999991
vbl_ssh_allreg_mar.60844,2.11999989
vbl_ssh_allreg_mar.60845,2.1500001
vbl_ssh_allreg_mar.60846,2.20000005
vbl_ssh_allreg_mar.60847,2.21000004
vbl_ssh_allreg_mar.60848,2.18000007
vbl_ssh_allreg_mar.60849,2.13000011
vbl_ssh_allreg_mar.60850,2.03999996
vbl_ssh_allreg_mar.60851,2.23000002
vbl_ssh_allreg_mar.60852,2.32999992
vbl_ssh_allreg_mar.60853,2.3900001
vbl_ssh_allreg_mar.60854,2.41000009
vbl_ssh_allreg_mar.60855,2.38000011
vbl_ssh_allreg_mar.60856,2.30999994
vbl_ssh_allreg_mar.60857,2.26999998
vbl_ssh_allreg_mar.60858,2.08999991
vbl_ssh_allreg_mar.60859,2.05999994
vbl_ssh_allreg_mar.60860,2.18000007
vbl_ssh_allreg_mar.60861,2.32999992
vbl_ssh_allreg_mar.60862,2.44000006
vbl_ssh_allreg_mar.60863,2.53999996
vbl_ssh_allreg_mar.60864,2.6099999
vbl_ssh_allreg_mar.60865,2.66000009
vbl_ssh_allreg_mar.60866,2.71000004
vbl_ssh_allreg_mar.60867,2.74000001
vbl_ssh_allreg_mar.60868,2.76999998
vbl_ssh_allreg_mar.60869,2.77999997
vbl_ssh_allreg_mar.60870,2.79999995
vbl_ssh_allreg_mar.60871,2.81999993
vbl_ssh_allreg_mar.60872,2.82999992
vbl_ssh_allreg_mar.60873,2.82999992
vbl_ssh_allreg_mar.60874,2.83999991
vbl_ssh_allreg_mar.60875,2.86999989
vbl_ssh_allreg_mar.60876,2.8900001
vbl_ssh_allreg_mar.60877,2.91000009
vbl_ssh_allreg_mar.60878,2.93000007
vbl_ssh_allreg_mar.60879,2.94000006
vbl_ssh_allreg_mar.60880,2.95000005
vbl_ssh_allreg_mar.60881,2.95000005
vbl_ssh_allreg_mar.60882,2.96000004
vbl_ssh_allreg_mar.60883,2.97000003
vbl_ssh_allreg_mar.60884,2.98000002
vbl_ssh_allreg_mar.60885,2.98000002
vbl_ssh_allreg_mar.60886,1.54999995
vbl_ssh_allreg_mar.60887,1.71000004
vbl_ssh_allreg_mar.60888,1.85000002
vbl_ssh_allreg_mar.60889,1.90999997
vbl_ssh_allreg_mar.60890,1.99000001
vbl_ssh_allreg_mar.60891,2.03999996
vbl_ssh_allreg_mar.60892,2.07999992
vbl_ssh_allreg_mar.60893,2.0999999
vbl_ssh_allreg_mar.60894,2.11999989
vbl_ssh_allreg_mar.60895,2.1099999
vbl_ssh_allreg_mar.60896,2.01999998
vbl_ssh_allreg_mar.60897,1.95000005
vbl_ssh_allreg_mar.60898,1.91999996
vbl_ssh_allreg_mar.60899,2.1400001
vbl_ssh_allreg_mar.60900,2.27999997
vbl_ssh_allreg_mar.60901,2.3499999
vbl_ssh_allreg_mar.60902,2.3599999
vbl_ssh_allreg_mar.60903,2.31999993
vbl_ssh_allreg_mar.60904,2.28999996
vbl_ssh_allreg_mar.60905,2.19000006
vbl_ssh_allreg_mar.60906,2.1500001
vbl_ssh_allreg_mar.60907,2.20000005
vbl_ssh_allreg_mar.60908,2.28999996
vbl_ssh_allreg_mar.60909,2.38000011
vbl_ssh_allreg_mar.60910,2.45000005
vbl_ssh_allreg_mar.60911,2.51999998
vbl_ssh_allreg_mar.60912,2.57999992
vbl_ssh_allreg_mar.60913,2.63000011
vbl_ssh_allreg_mar.60914,2.67000008
vbl_ssh_allreg_mar.60915,2.69000006
vbl_ssh_allreg_mar.60916,2.72000003
vbl_ssh_allreg_mar.60917,2.75
vbl_ssh_allreg_mar.60918,2.76999998
vbl_ssh_allreg_mar.60919,2.79999995
vbl_ssh_allreg_mar.60920,2.81999993
vbl_ssh_allreg_mar.60921,2.81999993
vbl_ssh_allreg_mar.60922,2.81999993
vbl_ssh_allreg_mar.60923,2.83999991
vbl_ssh_allreg_mar.60924,2.8599999
vbl_ssh_allreg_mar.60925,2.88000011
vbl_ssh_allreg_mar.60926,2.9000001
vbl_ssh_allreg_mar.60927,2.91000009
vbl_ssh_allreg_mar.60928,2.92000008
vbl_ssh_allreg_mar.60929,2.93000007
vbl_ssh_allreg_mar.60930,2.94000006
vbl_ssh_allreg_mar.60931,2.95000005
vbl_ssh_allreg_mar.60932,2.96000004
vbl_ssh_allreg_mar.60933,2.96000004
vbl_ssh_allreg_mar.60934,1.20000005
vbl_ssh_allreg_mar.60935,1.46000004
vbl_ssh_allreg_mar.60936,1.64999998
vbl_ssh_allreg_mar.60937,1.83000004
vbl_ssh_allreg_mar.60938,1.88
vbl_ssh_allreg_mar.60939,1.96000004
vbl_ssh_allreg_mar.60940,2.01999998
vbl_ssh_allreg_mar.60941,2.03999996
vbl_ssh_allreg_mar.60942,2.04999995
vbl_ssh_allreg_mar.60943,2.02999997
vbl_ssh_allreg_mar.60944,1.94000006
vbl_ssh_allreg_mar.41,3.72000003
vbl_ssh_allreg_mar.60945,1.96000004
vbl_ssh_allreg_mar.60946,1.44000006
vbl_ssh_allreg_mar.60947,1.88999999
vbl_ssh_allreg_mar.60948,2.02999997
vbl_ssh_allreg_mar.60949,2.17000008
vbl_ssh_allreg_mar.60950,2.27999997
vbl_ssh_allreg_mar.60951,2.30999994
vbl_ssh_allreg_mar.60952,2.30999994
vbl_ssh_allreg_mar.60953,2.29999995
vbl_ssh_allreg_mar.60954,2.25
vbl_ssh_allreg_mar.60955,2.22000003
vbl_ssh_allreg_mar.60956,2.23000002
vbl_ssh_allreg_mar.60957,2.26999998
vbl_ssh_allreg_mar.60958,2.31999993
vbl_ssh_allreg_mar.60959,2.36999989
vbl_ssh_allreg_mar.60960,2.42000008
vbl_ssh_allreg_mar.60961,2.48000002
vbl_ssh_allreg_mar.60962,2.52999997
vbl_ssh_allreg_mar.60963,2.56999993
vbl_ssh_allreg_mar.60964,2.6099999
vbl_ssh_allreg_mar.60965,2.6500001
vbl_ssh_allreg_mar.60966,2.69000006
vbl_ssh_allreg_mar.60967,2.72000003
vbl_ssh_allreg_mar.60968,2.75
vbl_ssh_allreg_mar.60969,2.77999997
vbl_ssh_allreg_mar.60970,2.78999996
vbl_ssh_allreg_mar.60971,2.78999996
vbl_ssh_allreg_mar.60972,2.79999995
vbl_ssh_allreg_mar.60973,2.81999993
vbl_ssh_allreg_mar.60974,2.83999991
vbl_ssh_allreg_mar.60975,2.8599999
vbl_ssh_allreg_mar.60976,2.86999989
