FID,sep_ssh
vbl_ssh_allreg_sep.60929,2.3499999
vbl_ssh_allreg_sep.60930,2.3599999
vbl_ssh_allreg_sep.60931,2.36999989
vbl_ssh_allreg_sep.60932,2.38000011
vbl_ssh_allreg_sep.60933,2.38000011
vbl_ssh_allreg_sep.60934,1.03999996
vbl_ssh_allreg_sep.60935,1.26999998
vbl_ssh_allreg_sep.60936,1.39999998
vbl_ssh_allreg_sep.60937,1.53999996
vbl_ssh_allreg_sep.60938,1.58000004
vbl_ssh_allreg_sep.60939,1.64999998
vbl_ssh_allreg_sep.60940,1.70000005
vbl_ssh_allreg_sep.60941,1.72000003
vbl_ssh_allreg_sep.60942,1.73000002
vbl_ssh_allreg_sep.60943,1.72000003
vbl_ssh_allreg_sep.60944,1.63999999
vbl_ssh_allreg_sep.41,2.52999997
vbl_ssh_allreg_sep.60945,1.65999997
vbl_ssh_allreg_sep.60946,1.15999997
vbl_ssh_allreg_sep.60947,1.50999999
vbl_ssh_allreg_sep.60948,1.63999999
vbl_ssh_allreg_sep.60949,1.75
vbl_ssh_allreg_sep.60950,1.85000002
vbl_ssh_allreg_sep.60951,1.88
vbl_ssh_allreg_sep.60952,1.87
vbl_ssh_allreg_sep.60953,1.86000001
vbl_ssh_allreg_sep.60954,1.79999995
vbl_ssh_allreg_sep.60955,1.75999999
vbl_ssh_allreg_sep.60956,1.76999998
vbl_ssh_allreg_sep.60957,1.80999994
vbl_ssh_allreg_sep.60958,1.86000001
vbl_ssh_allreg_sep.60959,1.89999998
vbl_ssh_allreg_sep.60960,1.96000004
vbl_ssh_allreg_sep.60961,2.00999999
vbl_ssh_allreg_sep.60962,2.05999994
vbl_ssh_allreg_sep.60963,2.08999991
vbl_ssh_allreg_sep.60964,2.11999989
vbl_ssh_allreg_sep.60965,2.1500001
vbl_ssh_allreg_sep.60966,2.17000008
vbl_ssh_allreg_sep.60967,2.19000006
vbl_ssh_allreg_sep.60968,2.21000004
vbl_ssh_allreg_sep.60969,2.23000002
vbl_ssh_allreg_sep.60970,2.24000001
vbl_ssh_allreg_sep.60971,2.25
vbl_ssh_allreg_sep.60972,2.25999999
vbl_ssh_allreg_sep.60973,2.26999998
vbl_ssh_allreg_sep.60974,2.28999996
vbl_ssh_allreg_sep.60975,2.29999995
vbl_ssh_allreg_sep.60976,2.30999994
vbl_ssh_allreg_sep.60977,2.31999993
vbl_ssh_allreg_sep.60978,2.32999992
vbl_ssh_allreg_sep.42,2.53999996
vbl_ssh_allreg_sep.60979,2.33999991
vbl_ssh_allreg_sep.60980,2.3499999
vbl_ssh_allreg_sep.60981,2.3599999
vbl_ssh_allreg_sep.60982,2.36999989
vbl_ssh_allreg_sep.60983,2.36999989
vbl_ssh_allreg_sep.60984,1.26999998
vbl_ssh_allreg_sep.60985,1.44000006
vbl_ssh_allreg_sep.60986,1.52999997
vbl_ssh_allreg_sep.60987,1.57000005
vbl_ssh_allreg_sep.60988,1.63999999
vbl_ssh_allreg_sep.60989,1.65999997
vbl_ssh_allreg_sep.60990,1.66999996
