FID,jun_ssh
vbl_ssh_allreg_jun.60864,1.64999998
vbl_ssh_allreg_jun.60865,1.69000006
vbl_ssh_allreg_jun.60866,1.71000004
vbl_ssh_allreg_jun.60867,1.73000002
vbl_ssh_allreg_jun.60868,1.74000001
vbl_ssh_allreg_jun.60869,1.75
vbl_ssh_allreg_jun.60870,1.75999999
vbl_ssh_allreg_jun.60871,1.76999998
vbl_ssh_allreg_jun.60872,1.76999998
vbl_ssh_allreg_jun.60873,1.77999997
vbl_ssh_allreg_jun.60874,1.77999997
vbl_ssh_allreg_jun.60875,1.78999996
vbl_ssh_allreg_jun.60876,1.79999995
vbl_ssh_allreg_jun.60877,1.79999995
vbl_ssh_allreg_jun.60878,1.80999994
vbl_ssh_allreg_jun.60879,1.80999994
vbl_ssh_allreg_jun.60880,1.80999994
vbl_ssh_allreg_jun.60881,1.82000005
vbl_ssh_allreg_jun.60882,1.82000005
vbl_ssh_allreg_jun.60883,1.82000005
vbl_ssh_allreg_jun.60884,1.82000005
vbl_ssh_allreg_jun.60885,1.82000005
vbl_ssh_allreg_jun.60886,1.09000003
vbl_ssh_allreg_jun.60887,1.16999996
vbl_ssh_allreg_jun.60888,1.25
vbl_ssh_allreg_jun.60889,1.26999998
vbl_ssh_allreg_jun.60890,1.32000005
vbl_ssh_allreg_jun.60891,1.35000002
vbl_ssh_allreg_jun.60892,1.36000001
vbl_ssh_allreg_jun.60893,1.36000001
vbl_ssh_allreg_jun.60894,1.37
vbl_ssh_allreg_jun.60895,1.35000002
vbl_ssh_allreg_jun.60896,1.26999998
vbl_ssh_allreg_jun.60897,1.21000004
vbl_ssh_allreg_jun.60898,1.23000002
vbl_ssh_allreg_jun.60899,1.38
vbl_ssh_allreg_jun.60900,1.44000006
vbl_ssh_allreg_jun.60901,1.47000003
vbl_ssh_allreg_jun.60902,1.47000003
vbl_ssh_allreg_jun.60903,1.44000006
vbl_ssh_allreg_jun.60904,1.42999995
vbl_ssh_allreg_jun.60905,1.35000002
vbl_ssh_allreg_jun.60906,1.33000004
vbl_ssh_allreg_jun.60907,1.37
vbl_ssh_allreg_jun.60908,1.44000006
vbl_ssh_allreg_jun.60909,1.5
vbl_ssh_allreg_jun.60910,1.54999995
vbl_ssh_allreg_jun.60911,1.60000002
vbl_ssh_allreg_jun.60912,1.63999999
vbl_ssh_allreg_jun.60913,1.66999996
vbl_ssh_allreg_jun.60914,1.69000006
vbl_ssh_allreg_jun.60915,1.71000004
vbl_ssh_allreg_jun.60916,1.72000003
vbl_ssh_allreg_jun.60917,1.74000001
vbl_ssh_allreg_jun.60918,1.75
vbl_ssh_allreg_jun.60919,1.75999999
vbl_ssh_allreg_jun.60920,1.76999998
vbl_ssh_allreg_jun.60921,1.76999998
vbl_ssh_allreg_jun.60922,1.77999997
vbl_ssh_allreg_jun.60923,1.77999997
vbl_ssh_allreg_jun.60924,1.78999996
vbl_ssh_allreg_jun.60925,1.79999995
vbl_ssh_allreg_jun.60926,1.79999995
vbl_ssh_allreg_jun.60927,1.79999995
vbl_ssh_allreg_jun.60928,1.80999994
vbl_ssh_allreg_jun.60929,1.80999994
vbl_ssh_allreg_jun.60930,1.80999994
vbl_ssh_allreg_jun.60931,1.80999994
vbl_ssh_allreg_jun.60932,1.80999994
vbl_ssh_allreg_jun.60933,1.80999994
vbl_ssh_allreg_jun.60934,0.87
vbl_ssh_allreg_jun.60935,1.02999997
vbl_ssh_allreg_jun.60936,1.13
vbl_ssh_allreg_jun.60937,1.23000002
vbl_ssh_allreg_jun.60938,1.25999999
vbl_ssh_allreg_jun.60939,1.30999994
vbl_ssh_allreg_jun.60940,1.33000004
vbl_ssh_allreg_jun.60941,1.33000004
vbl_ssh_allreg_jun.60942,1.33000004
vbl_ssh_allreg_jun.60943,1.30999994
vbl_ssh_allreg_jun.60944,1.23000002
vbl_ssh_allreg_jun.41,1.92999995
vbl_ssh_allreg_jun.60945,1.24000001
vbl_ssh_allreg_jun.60946,0.89999998
vbl_ssh_allreg_jun.60947,1.21000004
vbl_ssh_allreg_jun.60948,1.29999995
vbl_ssh_allreg_jun.60949,1.38
vbl_ssh_allreg_jun.60950,1.44000006
vbl_ssh_allreg_jun.60951,1.45000005
vbl_ssh_allreg_jun.60952,1.44000006
