FID,aug_ssh
vbl_ssh_allreg_aug.60872,1.74000001
vbl_ssh_allreg_aug.60873,1.75
vbl_ssh_allreg_aug.60874,1.75999999
vbl_ssh_allreg_aug.60875,1.76999998
vbl_ssh_allreg_aug.60876,1.77999997
vbl_ssh_allreg_aug.60877,1.78999996
vbl_ssh_allreg_aug.60878,1.78999996
vbl_ssh_allreg_aug.60879,1.79999995
vbl_ssh_allreg_aug.60880,1.79999995
vbl_ssh_allreg_aug.60881,1.80999994
vbl_ssh_allreg_aug.60882,1.80999994
vbl_ssh_allreg_aug.60883,1.82000005
vbl_ssh_allreg_aug.60884,1.82000005
vbl_ssh_allreg_aug.60885,1.83000004
vbl_ssh_allreg_aug.60886,1
vbl_ssh_allreg_aug.60887,1.10000002
vbl_ssh_allreg_aug.60888,1.19000006
vbl_ssh_allreg_aug.60889,1.21000004
vbl_ssh_allreg_aug.60890,1.26999998
vbl_ssh_allreg_aug.60891,1.29999995
vbl_ssh_allreg_aug.60892,1.33000004
vbl_ssh_allreg_aug.60893,1.34000003
vbl_ssh_allreg_aug.60894,1.36000001
vbl_ssh_allreg_aug.60895,1.36000001
vbl_ssh_allreg_aug.60896,1.30999994
vbl_ssh_allreg_aug.60897,1.28999996
vbl_ssh_allreg_aug.60898,1.16999996
vbl_ssh_allreg_aug.60899,1.29999995
vbl_ssh_allreg_aug.60900,1.39999998
vbl_ssh_allreg_aug.60901,1.46000004
vbl_ssh_allreg_aug.60902,1.47000003
vbl_ssh_allreg_aug.60903,1.45000005
vbl_ssh_allreg_aug.60904,1.42999995
vbl_ssh_allreg_aug.60905,1.34000003
vbl_ssh_allreg_aug.60906,1.28999996
vbl_ssh_allreg_aug.60907,1.30999994
vbl_ssh_allreg_aug.60908,1.37
vbl_ssh_allreg_aug.60909,1.42999995
vbl_ssh_allreg_aug.60910,1.49000001
vbl_ssh_allreg_aug.60911,1.53999996
vbl_ssh_allreg_aug.60912,1.58000004
vbl_ssh_allreg_aug.60913,1.62
vbl_ssh_allreg_aug.60914,1.63999999
vbl_ssh_allreg_aug.60915,1.65999997
vbl_ssh_allreg_aug.60916,1.67999995
vbl_ssh_allreg_aug.60917,1.69000006
vbl_ssh_allreg_aug.60918,1.70000005
vbl_ssh_allreg_aug.60919,1.72000003
vbl_ssh_allreg_aug.60920,1.73000002
vbl_ssh_allreg_aug.60921,1.74000001
vbl_ssh_allreg_aug.60922,1.75
vbl_ssh_allreg_aug.60923,1.75
vbl_ssh_allreg_aug.60924,1.75999999
vbl_ssh_allreg_aug.60925,1.76999998
vbl_ssh_allreg_aug.60926,1.77999997
vbl_ssh_allreg_aug.60927,1.78999996
vbl_ssh_allreg_aug.60928,1.78999996
vbl_ssh_allreg_aug.60929,1.79999995
vbl_ssh_allreg_aug.60930,1.79999995
vbl_ssh_allreg_aug.60931,1.80999994
vbl_ssh_allreg_aug.60932,1.80999994
vbl_ssh_allreg_aug.60933,1.82000005
vbl_ssh_allreg_aug.60934,0.81
vbl_ssh_allreg_aug.60935,0.98000002
vbl_ssh_allreg_aug.60936,1.08000004
vbl_ssh_allreg_aug.60937,1.17999995
vbl_ssh_allreg_aug.60938,1.21000004
vbl_ssh_allreg_aug.60939,1.25999999
vbl_ssh_allreg_aug.60940,1.29999995
vbl_ssh_allreg_aug.60941,1.30999994
vbl_ssh_allreg_aug.60942,1.32000005
vbl_ssh_allreg_aug.60943,1.32000005
vbl_ssh_allreg_aug.60944,1.25999999
vbl_ssh_allreg_aug.41,1.99000001
vbl_ssh_allreg_aug.60945,1.27999997
vbl_ssh_allreg_aug.60946,0.89999998
vbl_ssh_allreg_aug.60947,1.12
vbl_ssh_allreg_aug.60948,1.22000003
vbl_ssh_allreg_aug.60949,1.32000005
vbl_ssh_allreg_aug.60950,1.39999998
vbl_ssh_allreg_aug.60951,1.44000006
vbl_ssh_allreg_aug.60952,1.44000006
vbl_ssh_allreg_aug.60953,1.42999995
vbl_ssh_allreg_aug.60954,1.38999999
vbl_ssh_allreg_aug.60955,1.35000002
vbl_ssh_allreg_aug.60956,1.35000002
vbl_ssh_allreg_aug.60957,1.37
vbl_ssh_allreg_aug.60958,1.39999998
vbl_ssh_allreg_aug.60959,1.44000006
vbl_ssh_allreg_aug.60960,1.48000002
vbl_ssh_allreg_aug.60961,1.52999997
vbl_ssh_allreg_aug.60962,1.55999994
vbl_ssh_allreg_aug.60963,1.59000003
vbl_ssh_allreg_aug.60964,1.62
vbl_ssh_allreg_aug.60965,1.63999999
vbl_ssh_allreg_aug.60966,1.65999997
vbl_ssh_allreg_aug.60967,1.67999995
vbl_ssh_allreg_aug.60968,1.69000006
vbl_ssh_allreg_aug.60969,1.71000004
vbl_ssh_allreg_aug.60970,1.71000004
vbl_ssh_allreg_aug.60971,1.72000003
vbl_ssh_allreg_aug.60972,1.73000002
vbl_ssh_allreg_aug.60973,1.74000001
vbl_ssh_allreg_aug.60974,1.75
vbl_ssh_allreg_aug.60975,1.75999999
vbl_ssh_allreg_aug.60976,1.76999998
vbl_ssh_allreg_aug.60977,1.76999998
vbl_ssh_allreg_aug.60978,1.77999997
vbl_ssh_allreg_aug.42,1.99000001
vbl_ssh_allreg_aug.60979,1.78999996
vbl_ssh_allreg_aug.60980,1.78999996
vbl_ssh_allreg_aug.60981,1.79999995
vbl_ssh_allreg_aug.60982,1.79999995
vbl_ssh_allreg_aug.60983,1.79999995
vbl_ssh_allreg_aug.60984,0.95999998
vbl_ssh_allreg_aug.60985,1.10000002
vbl_ssh_allreg_aug.60986,1.16999996
vbl_ssh_allreg_aug.60987,1.20000005
vbl_ssh_allreg_aug.60988,1.25
vbl_ssh_allreg_aug.60989,1.26999998
vbl_ssh_allreg_aug.60990,1.26999998
vbl_ssh_allreg_aug.60991,1.25999999
vbl_ssh_allreg_aug.60992,1.17999995
vbl_ssh_allreg_aug.60993,1.19000006
vbl_ssh_allreg_aug.60994,0.94
vbl_ssh_allreg_aug.60995,1.08000004
vbl_ssh_allreg_aug.60996,1.14999998
vbl_ssh_allreg_aug.60997,1.25
vbl_ssh_allreg_aug.60998,1.34000003
vbl_ssh_allreg_aug.60999,1.38999999
vbl_ssh_allreg_aug.61000,1.40999997
vbl_ssh_allreg_aug.61001,1.41999996
vbl_ssh_allreg_aug.61002,1.39999998
vbl_ssh_allreg_aug.61003,1.38
vbl_ssh_allreg_aug.61004,1.37
vbl_ssh_allreg_aug.61005,1.37
