FID,ann_ssh
vbl_ssh_allreg_ann.60743,1.87
vbl_ssh_allreg_ann.60744,1.89999998
vbl_ssh_allreg_ann.60745,1.94000006
vbl_ssh_allreg_ann.60746,1.99000001
vbl_ssh_allreg_ann.60747,2.00999999
vbl_ssh_allreg_ann.60748,2.05999994
vbl_ssh_allreg_ann.60749,2.0999999
vbl_ssh_allreg_ann.60750,2.13000011
vbl_ssh_allreg_ann.60751,2.1500001
vbl_ssh_allreg_ann.60752,2.17000008
vbl_ssh_allreg_ann.60753,2.20000005
vbl_ssh_allreg_ann.60754,2.21000004
vbl_ssh_allreg_ann.60755,2.22000003
vbl_ssh_allreg_ann.60756,2.21000004
vbl_ssh_allreg_ann.60757,2.17000008
vbl_ssh_allreg_ann.60758,2.06999993
vbl_ssh_allreg_ann.60759,1.86000001
vbl_ssh_allreg_ann.60760,1.58000004
vbl_ssh_allreg_ann.60761,1.99000001
vbl_ssh_allreg_ann.60762,2.20000005
vbl_ssh_allreg_ann.60763,2.30999994
vbl_ssh_allreg_ann.60764,2.38000011
vbl_ssh_allreg_ann.60765,2.42000008
vbl_ssh_allreg_ann.60766,2.45000005
vbl_ssh_allreg_ann.60767,2.48000002
vbl_ssh_allreg_ann.60768,2.5
vbl_ssh_allreg_ann.60769,2.50999999
vbl_ssh_allreg_ann.60770,2.51999998
vbl_ssh_allreg_ann.60771,2.52999997
vbl_ssh_allreg_ann.60772,2.54999995
vbl_ssh_allreg_ann.60773,2.55999994
vbl_ssh_allreg_ann.60774,2.56999993
vbl_ssh_allreg_ann.60775,2.57999992
vbl_ssh_allreg_ann.60776,2.57999992
vbl_ssh_allreg_ann.60777,2.58999991
vbl_ssh_allreg_ann.60778,2.5999999
vbl_ssh_allreg_ann.60779,2.6099999
vbl_ssh_allreg_ann.60780,2.61999989
vbl_ssh_allreg_ann.60781,2.61999989
vbl_ssh_allreg_ann.60782,2.63000011
vbl_ssh_allreg_ann.60783,2.6400001
vbl_ssh_allreg_ann.60784,2.6400001
vbl_ssh_allreg_ann.60785,0.54000002
vbl_ssh_allreg_ann.60786,0.80000001
vbl_ssh_allreg_ann.60787,1.41999996
vbl_ssh_allreg_ann.60788,1.60000002
vbl_ssh_allreg_ann.60789,1.65999997
vbl_ssh_allreg_ann.60790,1.73000002
vbl_ssh_allreg_ann.60791,1.77999997
vbl_ssh_allreg_ann.60792,1.82000005
vbl_ssh_allreg_ann.60793,1.85000002
vbl_ssh_allreg_ann.60794,1.88
vbl_ssh_allreg_ann.60795,1.92999995
vbl_ssh_allreg_ann.60796,1.97000003
vbl_ssh_allreg_ann.60797,2.00999999
vbl_ssh_allreg_ann.60798,2.03999996
vbl_ssh_allreg_ann.60799,2.05999994
vbl_ssh_allreg_ann.60800,2.07999992
vbl_ssh_allreg_ann.60801,2.06999993
vbl_ssh_allreg_ann.60802,2.1400001
vbl_ssh_allreg_ann.60803,2.16000009
vbl_ssh_allreg_ann.60804,2.17000008
vbl_ssh_allreg_ann.60805,2.17000008
vbl_ssh_allreg_ann.40,3.06999993
vbl_ssh_allreg_ann.60806,2.13000011
vbl_ssh_allreg_ann.60807,2.03999996
vbl_ssh_allreg_ann.60808,1.96000004
vbl_ssh_allreg_ann.60809,1.52999997
vbl_ssh_allreg_ann.60810,1.65999997
vbl_ssh_allreg_ann.60811,1.90999997
vbl_ssh_allreg_ann.60812,2.1099999
vbl_ssh_allreg_ann.60813,2.23000002
vbl_ssh_allreg_ann.60814,2.30999994
vbl_ssh_allreg_ann.60815,2.36999989
vbl_ssh_allreg_ann.60816,2.41000009
vbl_ssh_allreg_ann.60817,2.44000006
vbl_ssh_allreg_ann.60818,2.46000004
vbl_ssh_allreg_ann.60819,2.48000002
vbl_ssh_allreg_ann.60820,2.49000001
vbl_ssh_allreg_ann.60821,2.5
vbl_ssh_allreg_ann.60822,2.51999998
vbl_ssh_allreg_ann.60823,2.51999998
vbl_ssh_allreg_ann.60824,2.53999996
vbl_ssh_allreg_ann.60825,2.54999995
vbl_ssh_allreg_ann.60826,2.55999994
vbl_ssh_allreg_ann.60827,2.56999993
vbl_ssh_allreg_ann.60828,2.57999992
vbl_ssh_allreg_ann.60829,2.58999991
vbl_ssh_allreg_ann.60830,2.5999999
vbl_ssh_allreg_ann.60831,2.5999999
vbl_ssh_allreg_ann.60832,2.6099999
vbl_ssh_allreg_ann.60833,2.61999989
vbl_ssh_allreg_ann.60834,2.63000011
vbl_ssh_allreg_ann.60835,2.63000011
vbl_ssh_allreg_ann.60836,1.22000003
vbl_ssh_allreg_ann.60837,1.41999996
vbl_ssh_allreg_ann.60838,1.55999994
vbl_ssh_allreg_ann.60839,1.66999996
