FID,may_ssh
vbl_ssh_allreg_may.60830,2.01999998
vbl_ssh_allreg_may.60831,2.02999997
vbl_ssh_allreg_may.60832,2.02999997
vbl_ssh_allreg_may.60833,2.02999997
vbl_ssh_allreg_may.60834,2.03999996
vbl_ssh_allreg_may.60835,2.03999996
vbl_ssh_allreg_may.60836,1.01999998
vbl_ssh_allreg_may.60837,1.17999995
vbl_ssh_allreg_may.60838,1.27999997
vbl_ssh_allreg_may.60839,1.36000001
vbl_ssh_allreg_may.60840,1.39999998
vbl_ssh_allreg_may.60841,1.44000006
vbl_ssh_allreg_may.60842,1.48000002
vbl_ssh_allreg_may.60843,1.5
vbl_ssh_allreg_may.60844,1.50999999
vbl_ssh_allreg_may.60845,1.52999997
vbl_ssh_allreg_may.60846,1.54999995
vbl_ssh_allreg_may.60847,1.54999995
vbl_ssh_allreg_may.60848,1.51999998
vbl_ssh_allreg_may.60849,1.48000002
vbl_ssh_allreg_may.60850,1.44000006
vbl_ssh_allreg_may.60851,1.55999994
vbl_ssh_allreg_may.60852,1.61000001
vbl_ssh_allreg_may.60853,1.64999998
vbl_ssh_allreg_may.60854,1.64999998
vbl_ssh_allreg_may.60855,1.63
vbl_ssh_allreg_may.60856,1.58000004
vbl_ssh_allreg_may.60857,1.54999995
vbl_ssh_allreg_may.60858,1.40999997
vbl_ssh_allreg_may.60859,1.40999997
vbl_ssh_allreg_may.60860,1.5
vbl_ssh_allreg_may.60861,1.61000001
vbl_ssh_allreg_may.60862,1.70000005
vbl_ssh_allreg_may.60863,1.75999999
vbl_ssh_allreg_may.60864,1.80999994
vbl_ssh_allreg_may.60865,1.85000002
vbl_ssh_allreg_may.60866,1.88
vbl_ssh_allreg_may.60867,1.89999998
vbl_ssh_allreg_may.60868,1.90999997
vbl_ssh_allreg_may.60869,1.91999996
vbl_ssh_allreg_may.60870,1.94000006
vbl_ssh_allreg_may.60871,1.95000005
vbl_ssh_allreg_may.60872,1.95000005
vbl_ssh_allreg_may.60873,1.96000004
vbl_ssh_allreg_may.60874,1.97000003
vbl_ssh_allreg_may.60875,1.98000002
vbl_ssh_allreg_may.60876,1.99000001
vbl_ssh_allreg_may.60877,2
vbl_ssh_allreg_may.60878,2.00999999
vbl_ssh_allreg_may.60879,2.00999999
vbl_ssh_allreg_may.60880,2.00999999
vbl_ssh_allreg_may.60881,2.01999998
vbl_ssh_allreg_may.60882,2.01999998
vbl_ssh_allreg_may.60883,2.01999998
vbl_ssh_allreg_may.60884,2.02999997
vbl_ssh_allreg_may.60885,2.02999997
vbl_ssh_allreg_may.60886,1.17999995
vbl_ssh_allreg_may.60887,1.26999998
vbl_ssh_allreg_may.60888,1.36000001
vbl_ssh_allreg_may.60889,1.38999999
vbl_ssh_allreg_may.60890,1.44000006
vbl_ssh_allreg_may.60891,1.47000003
vbl_ssh_allreg_may.60892,1.49000001
vbl_ssh_allreg_may.60893,1.49000001
vbl_ssh_allreg_may.60894,1.5
vbl_ssh_allreg_may.60895,1.48000002
vbl_ssh_allreg_may.60896,1.39999998
vbl_ssh_allreg_may.60897,1.35000002
vbl_ssh_allreg_may.60898,1.34000003
vbl_ssh_allreg_may.60899,1.5
vbl_ssh_allreg_may.60900,1.57000005
vbl_ssh_allreg_may.60901,1.62
vbl_ssh_allreg_may.60902,1.62
vbl_ssh_allreg_may.60903,1.59000003
vbl_ssh_allreg_may.60904,1.57000005
vbl_ssh_allreg_may.60905,1.49000001
