FID,jan_ssh
vbl_ssh_allreg_jan.60936,2.00999999
vbl_ssh_allreg_jan.60937,2.21000004
vbl_ssh_allreg_jan.60938,2.25999999
vbl_ssh_allreg_jan.60939,2.32999992
vbl_ssh_allreg_jan.60940,2.38000011
vbl_ssh_allreg_jan.60941,2.3900001
vbl_ssh_allreg_jan.60942,2.38000011
vbl_ssh_allreg_jan.60943,2.33999991
vbl_ssh_allreg_jan.60944,2.21000004
vbl_ssh_allreg_jan.41,3.9000001
vbl_ssh_allreg_jan.60945,2.21000004
vbl_ssh_allreg_jan.60946,1.63
vbl_ssh_allreg_jan.60947,2.25999999
vbl_ssh_allreg_jan.60948,2.41000009
vbl_ssh_allreg_jan.60949,2.52999997
vbl_ssh_allreg_jan.60950,2.63000011
vbl_ssh_allreg_jan.60951,2.6400001
vbl_ssh_allreg_jan.60952,2.61999989
vbl_ssh_allreg_jan.60953,2.6099999
vbl_ssh_allreg_jan.60954,2.54999995
vbl_ssh_allreg_jan.60955,2.53999996
vbl_ssh_allreg_jan.60956,2.56999993
vbl_ssh_allreg_jan.60957,2.63000011
vbl_ssh_allreg_jan.60958,2.69000006
vbl_ssh_allreg_jan.60959,2.74000001
vbl_ssh_allreg_jan.60960,2.79999995
vbl_ssh_allreg_jan.60961,2.86999989
vbl_ssh_allreg_jan.60962,2.93000007
vbl_ssh_allreg_jan.60963,2.98000002
vbl_ssh_allreg_jan.60964,3.01999998
vbl_ssh_allreg_jan.60965,3.04999995
vbl_ssh_allreg_jan.60966,3.08999991
vbl_ssh_allreg_jan.60967,3.11999989
vbl_ssh_allreg_jan.60968,3.16000009
vbl_ssh_allreg_jan.60969,3.19000006
vbl_ssh_allreg_jan.60970,3.19000006
vbl_ssh_allreg_jan.60971,3.19000006
vbl_ssh_allreg_jan.60972,3.20000005
vbl_ssh_allreg_jan.60973,3.22000003
vbl_ssh_allreg_jan.60974,3.24000001
vbl_ssh_allreg_jan.60975,3.25999999
vbl_ssh_allreg_jan.60976,3.27999997
vbl_ssh_allreg_jan.60977,3.29999995
vbl_ssh_allreg_jan.60978,3.30999994
vbl_ssh_allreg_jan.42,3.9000001
vbl_ssh_allreg_jan.60979,3.31999993
vbl_ssh_allreg_jan.60980,3.32999992
vbl_ssh_allreg_jan.60981,3.33999991
vbl_ssh_allreg_jan.60982,3.3599999
vbl_ssh_allreg_jan.60983,3.3599999
vbl_ssh_allreg_jan.60984,1.82000005
vbl_ssh_allreg_jan.60985,2.03999996
vbl_ssh_allreg_jan.60986,2.1400001
vbl_ssh_allreg_jan.60987,2.20000005
vbl_ssh_allreg_jan.60988,2.27999997
vbl_ssh_allreg_jan.60989,2.29999995
vbl_ssh_allreg_jan.60990,2.27999997
vbl_ssh_allreg_jan.60991,2.22000003
vbl_ssh_allreg_jan.60992,2.04999995
vbl_ssh_allreg_jan.60993,1.99000001
vbl_ssh_allreg_jan.60994,1.77999997
vbl_ssh_allreg_jan.60995,2.24000001
vbl_ssh_allreg_jan.60996,2.30999994
vbl_ssh_allreg_jan.60997,2.44000006
vbl_ssh_allreg_jan.60998,2.54999995
vbl_ssh_allreg_jan.60999,2.58999991
vbl_ssh_allreg_jan.61000,2.5999999
vbl_ssh_allreg_jan.61001,2.58999991
vbl_ssh_allreg_jan.61002,2.55999994
