FID,feb_ssh
vbl_ssh_allreg_feb.60969,3.05999994
vbl_ssh_allreg_feb.60970,3.05999994
vbl_ssh_allreg_feb.60971,3.05999994
vbl_ssh_allreg_feb.60972,3.06999993
vbl_ssh_allreg_feb.60973,3.08999991
vbl_ssh_allreg_feb.60974,3.1099999
vbl_ssh_allreg_feb.60975,3.13000011
vbl_ssh_allreg_feb.60976,3.1400001
vbl_ssh_allreg_feb.60977,3.16000009
vbl_ssh_allreg_feb.60978,3.17000008
vbl_ssh_allreg_feb.42,3.94000006
vbl_ssh_allreg_feb.60979,3.19000006
vbl_ssh_allreg_feb.60980,3.20000005
vbl_ssh_allreg_feb.60981,3.21000004
vbl_ssh_allreg_feb.60982,3.22000003
vbl_ssh_allreg_feb.60983,3.22000003
vbl_ssh_allreg_feb.60984,1.72000003
vbl_ssh_allreg_feb.60985,1.96000004
vbl_ssh_allreg_feb.60986,2.06999993
vbl_ssh_allreg_feb.60987,2.1400001
vbl_ssh_allreg_feb.60988,2.23000002
vbl_ssh_allreg_feb.60989,2.25
vbl_ssh_allreg_feb.60990,2.23000002
vbl_ssh_allreg_feb.60991,2.18000007
vbl_ssh_allreg_feb.60992,2.00999999
vbl_ssh_allreg_feb.60993,1.95000005
vbl_ssh_allreg_feb.60994,1.70000005
vbl_ssh_allreg_feb.60995,2.1400001
vbl_ssh_allreg_feb.60996,2.21000004
vbl_ssh_allreg_feb.60997,2.3499999
vbl_ssh_allreg_feb.60998,2.47000003
vbl_ssh_allreg_feb.60999,2.50999999
vbl_ssh_allreg_feb.61000,2.50999999
vbl_ssh_allreg_feb.61001,2.5
vbl_ssh_allreg_feb.61002,2.47000003
vbl_ssh_allreg_feb.61003,2.46000004
