FID,nov_ssh
vbl_ssh_allreg_nov.60390,2.86999989
vbl_ssh_allreg_nov.60391,2.92000008
vbl_ssh_allreg_nov.60392,2.96000004
vbl_ssh_allreg_nov.60393,2.99000001
vbl_ssh_allreg_nov.60394,3.01999998
vbl_ssh_allreg_nov.60395,3.03999996
vbl_ssh_allreg_nov.60396,3.05999994
vbl_ssh_allreg_nov.60397,3.07999992
vbl_ssh_allreg_nov.60398,3.0999999
vbl_ssh_allreg_nov.60399,3.13000011
vbl_ssh_allreg_nov.60400,3.1500001
vbl_ssh_allreg_nov.60401,3.17000008
vbl_ssh_allreg_nov.60402,3.19000006
vbl_ssh_allreg_nov.60403,3.20000005
vbl_ssh_allreg_nov.60404,3.22000003
vbl_ssh_allreg_nov.60405,3.23000002
vbl_ssh_allreg_nov.60406,3.25
vbl_ssh_allreg_nov.60407,3.25999999
vbl_ssh_allreg_nov.60408,3.26999998
vbl_ssh_allreg_nov.60409,3.28999996
vbl_ssh_allreg_nov.60410,3.29999995
vbl_ssh_allreg_nov.60411,3.30999994
vbl_ssh_allreg_nov.60412,0.54000002
vbl_ssh_allreg_nov.60413,0.57999998
vbl_ssh_allreg_nov.60414,0.63999999
vbl_ssh_allreg_nov.60415,0.94
vbl_ssh_allreg_nov.60416,1.04999995
vbl_ssh_allreg_nov.60417,1.14999998
vbl_ssh_allreg_nov.60418,1.25999999
vbl_ssh_allreg_nov.60419,1.39999998
vbl_ssh_allreg_nov.60420,1.57000005
vbl_ssh_allreg_nov.60421,1.70000005
vbl_ssh_allreg_nov.60422,1.82000005
vbl_ssh_allreg_nov.60423,1.90999997
vbl_ssh_allreg_nov.60424,2
vbl_ssh_allreg_nov.34,3.92000008
vbl_ssh_allreg_nov.60425,2.07999992
vbl_ssh_allreg_nov.60426,2.16000009
vbl_ssh_allreg_nov.60427,2.24000001
vbl_ssh_allreg_nov.60428,2.30999994
vbl_ssh_allreg_nov.60429,2.36999989
vbl_ssh_allreg_nov.60430,2.42000008
vbl_ssh_allreg_nov.60431,2.47000003
vbl_ssh_allreg_nov.60432,2.50999999
vbl_ssh_allreg_nov.60433,2.57999992
vbl_ssh_allreg_nov.60434,2.6400001
vbl_ssh_allreg_nov.60435,2.67000008
vbl_ssh_allreg_nov.60436,2.69000006
vbl_ssh_allreg_nov.60437,2.75
vbl_ssh_allreg_nov.60438,2.77999997
vbl_ssh_allreg_nov.60439,2.78999996
vbl_ssh_allreg_nov.60440,2.8599999
vbl_ssh_allreg_nov.60441,2.8599999
vbl_ssh_allreg_nov.60442,2.88000011
vbl_ssh_allreg_nov.60443,2.91000009
vbl_ssh_allreg_nov.60444,2.94000006
vbl_ssh_allreg_nov.60445,2.97000003
vbl_ssh_allreg_nov.60446,3
vbl_ssh_allreg_nov.60447,3.01999998
vbl_ssh_allreg_nov.60448,3.02999997
vbl_ssh_allreg_nov.60449,3.05999994
vbl_ssh_allreg_nov.60450,3.07999992
vbl_ssh_allreg_nov.60451,3.1099999
vbl_ssh_allreg_nov.60452,3.13000011
vbl_ssh_allreg_nov.60453,3.1500001
vbl_ssh_allreg_nov.60454,3.17000008
vbl_ssh_allreg_nov.60455,3.19000006
vbl_ssh_allreg_nov.60456,3.20000005
vbl_ssh_allreg_nov.60457,3.22000003
vbl_ssh_allreg_nov.60458,3.23000002
vbl_ssh_allreg_nov.60459,3.24000001
vbl_ssh_allreg_nov.60460,3.25999999
vbl_ssh_allreg_nov.60461,3.26999998
vbl_ssh_allreg_nov.60462,3.28999996
vbl_ssh_allreg_nov.60463,3.28999996
vbl_ssh_allreg_nov.60464,3.29999995
vbl_ssh_allreg_nov.60465,0.67000002
vbl_ssh_allreg_nov.60466,0.76999998
vbl_ssh_allreg_nov.60467,0.93000001
vbl_ssh_allreg_nov.60468,1.03999996
vbl_ssh_allreg_nov.60469,1.14999998
vbl_ssh_allreg_nov.60470,1.25
vbl_ssh_allreg_nov.60471,1.36000001
vbl_ssh_allreg_nov.60472,1.52999997
vbl_ssh_allreg_nov.60473,1.65999997
vbl_ssh_allreg_nov.60474,1.76999998
vbl_ssh_allreg_nov.60475,1.86000001
vbl_ssh_allreg_nov.60476,1.95000005
vbl_ssh_allreg_nov.60477,2.02999997
vbl_ssh_allreg_nov.60478,2.1099999
